DataHora,TempoSegundos,GasUsado,EnderecoContrato,HashTransacao
2025-05-12T20:06:56.956Z,9.783,972463,0x838A29929b45Ab5aB19Ef90d7AA9C4E11aD6E5b8,0xe7049f6aca974a5383a9a52d56ee629608ae77f9bbdeda0a2bbdac66d409f11c
2025-05-12T20:14:50.351Z,6.137,972463,0xd889883713131A0384752315bf14feA09C57E485,0x6f933cc2bbf41d371906df072e557e9dfecd2b5ea32f7599dcd5a34aa72b3be6
2025-05-12T20:15:51.310Z,9.593,972463,0xEb02a3570F9a95d81A4876f9A4BB62A8362B3B1b,0x33fddfa09cee4ecaadfd61bd46bf2da96e4cabe75f5128dead0800bfd1fb95dc
2025-05-12T20:17:03.517Z,11.603,972463,0xA1fe69910aBd0f78227E672A6b9B27A53B5648cA,0x7eb280f00a6c361b8ff4f0491fbdaa4c355d126598bf2788eeaf9888f81d100c
2025-05-12T20:18:14.539Z,10.448,972463,0xc593f1DE291576F4bEE5db5d1c99e9e52D368ebF,0x98da1e7b9ad149703acd771bb7bb639a18b9d1b9127bf406de6f70ce7a0bb79b
2025-05-12T20:19:20.413Z,5.405,972463,0xB8ae1C85752396aFf55E7Df5227cc5318CD75735,0x269f838ebfdae8729b46b5d92ca536bcfde0f0fc9ce9a6896da7b8a7a10efa36
2025-05-12T20:20:26.771Z,5.654,972463,0x0D277a7e0b7c79561d444f3592777A18Cd31DB66,0xd1e916feee175f10164a676b615a5ca676844e0975869794a5e7ac64dbe9035e
2025-05-12T20:21:39.447Z,11.882,972463,0x2D12535FED9a329e194b7F93fBC9DBFFfd22d084,0x7fa3a391a235994c122ab6caf97faf5eb34768dc07d1c58ae52c522cd5c3b3b2
2025-05-12T20:22:44.189Z,4.179,972463,0xA648c33C5c1c3350aE6fF9101107CD4c35Bbe195,0xed60d1cdeb7b0a8578bbde76b2c487b74aeba4151ba17edf66366e2e2e288cb7
2025-05-12T20:23:50.225Z,5.362,972463,0xb3Fa5eA906044a6895345a95979F58679EF5bEE3,0x8df7213be48b7425b73d81d4f4ea573b1e651a45ea88b5de9f733c1ae9316e22
2025-05-12T20:24:57.856Z,6.979,972463,0xfF0A221E51BA84BfA36C6CA646065bCBB8b1Ba73,0x99c0e51c9de4011a1b1e3d64fbbb14e5bc5cad8fd2e00d095624b70bd3ae7cb8
2025-05-12T20:26:08.591Z,9.826,972463,0x77D525756569540C9C9120eBBC358bB40ead0133,0x6339bd767e9f606b0032c68a4e8113513fbbcd6d48d73c01c1c9b3088e5e40eb
2025-05-12T20:27:38.763Z,27.104,972463,0x0bB4fD44b83f7aF0DAb88EDc5F3c01ED8EAa26EC,0xa1f110e5f256c9610d91d93e54686929ccc93bee9859983772a2eaf8ad9af479
